Region,Year,HDI,GDP
Sub-Saharan Africa,1991,0.404,NA
Sub-Saharan Africa,1992,0.404,NA
Sub-Saharan Africa,1993,0.406,NA
Sub-Saharan Africa,1994,0.407,NA
Sub-Saharan Africa,1995,0.411,2426
Sub-Saharan Africa,1996,0.415,NA
Sub-Saharan Africa,1997,0.418,NA
Sub-Saharan Africa,1998,0.422,NA
Sub-Saharan Africa,1999,0.425,NA
Sub-Saharan Africa,2000,0.423,2500
Sub-Saharan Africa,2001,0.426,NA
Sub-Saharan Africa,2002,0.434,NA
Sub-Saharan Africa,2003,0.444,NA
Sub-Saharan Africa,2004,0.451,NA
Sub-Saharan Africa,2005,0.459,2883
Sub-Saharan Africa,2006,0.469,NA
Sub-Saharan Africa,2007,0.477,NA
Sub-Saharan Africa,2008,0.486,NA
Sub-Saharan Africa,2009,0.494,NA
Sub-Saharan Africa,2010,0.498,3294
Sub-Saharan Africa,2011,0.505,3365
Sub-Saharan Africa,2012,0.512,3418
Sub-Saharan Africa,2013,0.521,3504
Sub-Saharan Africa,2014,0.527,3582
Sub-Saharan Africa,2015,0.532,3591
Sub-Saharan Africa,2016,0.535,3544
Sub-Saharan Africa,2017,0.539,3546
Sub-Saharan Africa,2018,0.541,3552
World,1990,0.598,8958
World,1991,0.601,NA
World,1992,0.601,NA
World,1993,0.608,NA
World,1994,0.611,NA
World,1995,0.617,9242
World,1996,0.622,NA
World,1997,0.624,NA
World,1998,0.631,NA
World,1999,0.636,NA
World,2000,0.641,10379
World,2001,0.646,NA
World,2002,0.651,NA
World,2003,0.657,NA
World,2004,0.663,NA
World,2005,0.669,11712
World,2006,0.676,NA
World,2007,0.682,NA
World,2008,0.688,NA
World,2009,0.691,NA
World,2010,0.697,13185
World,2011,0.703,13559
World,2012,0.708,13859
World,2013,0.713,14166
World,2014,0.718,14486
World,2015,0.722,14804
World,2016,0.727,15123
World,2017,0.729,15514
World,2018,0.731,15893
